Pickup Punkte;Tour;Aufnahmedatum der Tour;geo_point_2d
"{""coordinates"": [9.32691570084785, 47.4033103825635], ""type"": ""Point""}";Tour 301;2016-03-02;47.4033103825635, 9.32691570084785
"{""coordinates"": [9.33073382560812, 47.405827635874], ""type"": ""Point""}";Tour 301;2016-03-02;47.405827635874, 9.33073382560812
"{""coordinates"": [9.3319166798542, 47.4062246028319], ""type"": ""Point""}";Tour 301;2016-03-02;47.4062246028319, 9.3319166798542
"{""coordinates"": [9.38079457764593, 47.4229709758145], ""type"": ""Point""}";Tour 302;2016-03-09;47.4229709758145, 9.38079457764593
"{""coordinates"": [9.38003819465865, 47.4232740654513], ""type"": ""Point""}";Tour 302;2016-03-09;47.4232740654513, 9.38003819465865
"{""coordinates"": [9.38499625831821, 47.4247653737525], ""type"": ""Point""}";Tour 302;2016-03-09;47.4247653737525, 9.38499625831821
"{""coordinates"": [9.38578616892016, 47.4246849074772], ""type"": ""Point""}";Tour 302;2016-03-09;47.4246849074772, 9.38578616892016
"{""coordinates"": [9.3877374760948, 47.4250067725782], ""type"": ""Point""}";Tour 302;2016-03-09;47.4250067725782, 9.3877374760948
"{""coordinates"": [9.38528727801366, 47.4234591378843], ""type"": ""Point""}";Tour 302;2016-03-09;47.4234591378843, 9.38528727801366
"{""coordinates"": [9.38409771824465, 47.4230903341228], ""type"": ""Point""}";Tour 302;2016-03-09;47.4230903341228, 9.38409771824465
"{""coordinates"": [9.38182991038738, 47.422985727965], ""type"": ""Point""}";Tour 302;2016-03-09;47.422985727965, 9.38182991038738
"{""coordinates"": [9.3842197587621, 47.4235731317742], ""type"": ""Point""}";Tour 302;2016-03-09;47.4235731317742, 9.3842197587621
"{""coordinates"": [9.38640844144871, 47.424705024046], ""type"": ""Point""}";Tour 302;2016-03-09;47.424705024046, 9.38640844144871
"{""coordinates"": [9.38287328975636, 47.4233974470733], ""type"": ""Point""}";Tour 302;2016-03-09;47.4233974470733, 9.38287328975636
"{""coordinates"": [9.38202571165715, 47.4185801993954], ""type"": ""Point""}";Tour 302;2016-03-09;47.4185801993954, 9.38202571165715
"{""coordinates"": [9.37908332819242, 47.4194827627827], ""type"": ""Point""}";Tour 302;2016-03-09;47.4194827627827, 9.37908332819242
"{""coordinates"": [9.37810163963448, 47.4196584474837], ""type"": ""Point""}";Tour 302;2016-03-09;47.4196584474837, 9.37810163963448
"{""coordinates"": [9.3737309797842, 47.4196584474837], ""type"": ""Point""}";Tour 302;2016-03-09;47.4196584474837, 9.3737309797842
"{""coordinates"": [9.37357809386123, 47.4195887100451], ""type"": ""Point""}";Tour 302;2016-03-09;47.4195887100451, 9.37357809386123
"{""coordinates"": [9.36944346841832, 47.4184957098064], ""type"": ""Point""}";Tour 302;2016-03-09;47.4184957098064, 9.36944346841832
"{""coordinates"": [9.37648426750209, 47.4155613729692], ""type"": ""Point""}";Tour 302;2016-03-09;47.4155613729692, 9.37648426750209
"{""coordinates"": [9.38095551019643, 47.4172927389915], ""type"": ""Point""}";Tour 302;2016-03-09;47.4172927389915, 9.38095551019643
"{""coordinates"": [9.38102256542578, 47.4172176371347], ""type"": ""Point""}";Tour 302;2016-03-09;47.4172176371347, 9.38102256542578
"{""coordinates"": [9.37972169397602, 47.4177621255971], ""type"": ""Point""}";Tour 302;2016-03-09;47.4177621255971, 9.37972169397602
"{""coordinates"": [9.37937568899247, 47.4175099979347], ""type"": ""Point""}";Tour 302;2016-03-09;47.4175099979347, 9.37937568899247
"{""coordinates"": [9.37761079535548, 47.4180424164559], ""type"": ""Point""}";Tour 302;2016-03-09;47.4180424164559, 9.37761079535548
"{""coordinates"": [9.37752362355729, 47.4187250386909], ""type"": ""Point""}";Tour 302;2016-03-09;47.4187250386909, 9.37752362355729
"{""coordinates"": [9.37755983338116, 47.419348652324], ""type"": ""Point""}";Tour 302;2016-03-09;47.419348652324, 9.37755983338116
"{""coordinates"": [9.38098635560192, 47.4213093472308], ""type"": ""Point""}";Tour 302;2016-03-09;47.4213093472308, 9.38098635560192
"{""coordinates"": [9.38040699842017, 47.4213308049042], ""type"": ""Point""}";Tour 302;2016-03-09;47.4213308049042, 9.38040699842017
"{""coordinates"": [9.3795446681705, 47.4208681238215], ""type"": ""Point""}";Tour 302;2016-03-09;47.4208681238215, 9.3795446681705
"{""coordinates"": [9.37847983112812, 47.4186526190431], ""type"": ""Point""}";Tour 302;2016-03-09;47.4186526190431, 9.37847983112812
"{""coordinates"": [9.38128408082034, 47.4178653906503], ""type"": ""Point""}";Tour 302;2016-03-09;47.4178653906503, 9.38128408082034
"{""coordinates"": [9.38208337915441, 47.4192346584341], ""type"": ""Point""}";Tour 302;2016-03-09;47.4192346584341, 9.38208337915441
"{""coordinates"": [9.38406553173456, 47.4186298202652], ""type"": ""Point""}";Tour 302;2016-03-09;47.4186298202652, 9.38406553173456
"{""coordinates"": [9.38407089615291, 47.4176615427531], ""type"": ""Point""}";Tour 302;2016-03-09;47.4176615427531, 9.38407089615291
"{""coordinates"": [9.38238378658198, 47.4183106373734], ""type"": ""Point""}";Tour 302;2016-03-09;47.4183106373734, 9.38238378658198
"{""coordinates"": [9.38236769332693, 47.4183079551642], ""type"": ""Point""}";Tour 302;2016-03-09;47.4183079551642, 9.38236769332693
"{""coordinates"": [9.3817132342883, 47.417092914408], ""type"": ""Point""}";Tour 302;2016-03-09;47.417092914408, 9.3817132342883
"{""coordinates"": [9.38206728589935, 47.4166731486722], ""type"": ""Point""}";Tour 302;2016-03-09;47.4166731486722, 9.38206728589935
"{""coordinates"": [9.38246827617098, 47.4166235278024], ""type"": ""Point""}";Tour 302;2016-03-09;47.4166235278024, 9.38246827617098
"{""coordinates"": [9.38577678118807, 47.4154567668114], ""type"": ""Point""}";Tour 302;2016-03-09;47.4154567668114, 9.38577678118807
"{""coordinates"": [9.38651304760654, 47.4153843471637], ""type"": ""Point""}";Tour 302;2016-03-09;47.4153843471637, 9.38651304760654
"{""coordinates"": [9.39130481429726, 47.4145743199929], ""type"": ""Point""}";Tour 302;2016-03-09;47.4145743199929, 9.39130481429726
"{""coordinates"": [9.39461331931432, 47.4151416072334], ""type"": ""Point""}";Tour 302;2016-03-09;47.4151416072334, 9.39461331931432
"{""coordinates"": [9.39636480190543, 47.4150825986315], ""type"": ""Point""}";Tour 302;2016-03-09;47.4150825986315, 9.39636480190543
"{""coordinates"": [9.39805057037179, 47.4146239408626], ""type"": ""Point""}";Tour 302;2016-03-09;47.4146239408626, 9.39805057037179
"{""coordinates"": [9.4288825648357, 47.4181269060449], ""type"": ""Point""}";Tour 302;2016-03-09;47.4181269060449, 9.4288825648357
"{""coordinates"": [9.42384537600549, 47.4204094660526], ""type"": ""Point""}";Tour 302;2016-03-09;47.4204094660526, 9.42384537600549
"{""coordinates"": [9.41577192638945, 47.4219624651648], ""type"": ""Point""}";Tour 302;2016-03-09;47.4219624651648, 9.41577192638945
"{""coordinates"": [9.3963151810357, 47.4263760403619], ""type"": ""Point""}";Tour 302;2016-03-09;47.4263760403619, 9.3963151810357
"{""coordinates"": [9.39187746595607, 47.4230407132531], ""type"": ""Point""}";Tour 302;2016-03-09;47.4230407132531, 9.39187746595607
"{""coordinates"": [9.38800569701229, 47.4249973848461], ""type"": ""Point""}";Tour 302;2016-03-09;47.4249973848461, 9.38800569701229
"{""coordinates"": [9.39269956306813, 47.4262875274591], ""type"": ""Point""}";Tour 302;2016-03-09;47.4262875274591, 9.39269956306813
"{""coordinates"": [9.39327221472695, 47.426323737283], ""type"": ""Point""}";Tour 302;2016-03-09;47.426323737283, 9.39327221472695
"{""coordinates"": [9.40605696475845, 47.4256263628975], ""type"": ""Point""}";Tour 302;2016-03-09;47.4256263628975, 9.40605696475845
"{""coordinates"": [9.40197598349906, 47.4264645532647], ""type"": ""Point""}";Tour 302;2016-03-09;47.4264645532647, 9.40197598349906
"{""coordinates"": [9.40363090655987, 47.4257443801012], ""type"": ""Point""}";Tour 302;2016-03-09;47.4257443801012, 9.40363090655987
"{""coordinates"": [9.39481984942077, 47.4139600940919], ""type"": ""Point""}";Tour 302;2016-03-09;47.4139600940919, 9.39481984942077
"{""coordinates"": [9.39510684580247, 47.4139600940919], ""type"": ""Point""}";Tour 302;2016-03-09;47.4139600940919, 9.39510684580247
"{""coordinates"": [9.39580153797874, 47.414291346925], ""type"": ""Point""}";Tour 302;2016-03-09;47.414291346925, 9.39580153797874
"{""coordinates"": [9.39942788478302, 47.416186327707], ""type"": ""Point""}";Tour 302;2016-03-09;47.416186327707, 9.39942788478302
"{""coordinates"": [9.39731430395329, 47.4157316932518], ""type"": ""Point""}";Tour 302;2016-03-09;47.4157316932518, 9.39731430395329
"{""coordinates"": [9.38768517301591, 47.4147862145177], ""type"": ""Point""}";Tour 302;2016-03-09;47.4147862145177, 9.38768517301591
"{""coordinates"": [9.39009647906403, 47.4137924560185], ""type"": ""Point""}";Tour 302;2016-03-09;47.4137924560185, 9.39009647906403
"{""coordinates"": [9.38990872442179, 47.413969481824], ""type"": ""Point""}";Tour 302;2016-03-09;47.413969481824, 9.38990872442179
"{""coordinates"": [9.38799765038476, 47.4144241162791], ""type"": ""Point""}";Tour 302;2016-03-09;47.4144241162791, 9.38799765038476
"{""coordinates"": [9.3858264020578, 47.4147124537654], ""type"": ""Point""}";Tour 302;2016-03-09;47.4147124537654, 9.3858264020578
"{""coordinates"": [9.38621129907438, 47.4145917543526], ""type"": ""Point""}";Tour 302;2016-03-09;47.4145917543526, 9.38621129907438
"{""coordinates"": [9.38749741837367, 47.4146038242938], ""type"": ""Point""}";Tour 302;2016-03-09;47.4146038242938, 9.38749741837367
"{""coordinates"": [9.39235758139833, 47.4167884836667], ""type"": ""Point""}";Tour 302;2016-03-09;47.4167884836667, 9.39235758139833
"{""coordinates"": [9.391991459846, 47.4168072591309], ""type"": ""Point""}";Tour 302;2016-03-09;47.4168072591309, 9.391991459846
"{""coordinates"": [9.39177688311202, 47.4167978713988], ""type"": ""Point""}";Tour 302;2016-03-09;47.4167978713988, 9.39177688311202
"{""coordinates"": [9.38921269114093, 47.4170070837144], ""type"": ""Point""}";Tour 302;2016-03-09;47.4170070837144, 9.38921269114093
"{""coordinates"": [9.38805934119577, 47.4171546052191], ""type"": ""Point""}";Tour 302;2016-03-09;47.4171546052191, 9.38805934119577
"{""coordinates"": [9.3878769509719, 47.4166288922208], ""type"": ""Point""}";Tour 302;2016-03-09;47.4166288922208, 9.3878769509719
"{""coordinates"": [9.38964318571348, 47.4161514589877], ""type"": ""Point""}";Tour 302;2016-03-09;47.4161514589877, 9.38964318571348
"{""coordinates"": [9.38972901640707, 47.4161393890464], ""type"": ""Point""}";Tour 302;2016-03-09;47.4161393890464, 9.38972901640707
"{""coordinates"": [9.39011391342365, 47.4160575816666], ""type"": ""Point""}";Tour 302;2016-03-09;47.4160575816666, 9.39011391342365
"{""coordinates"": [9.38671287219006, 47.4175783942686], ""type"": ""Point""}";Tour 302;2016-03-09;47.4175783942686, 9.38671287219006
"{""coordinates"": [9.38674639980474, 47.417629356243], ""type"": ""Point""}";Tour 302;2016-03-09;47.417629356243, 9.38674639980474
"{""coordinates"": [9.38698377531671, 47.4179820667495], ""type"": ""Point""}";Tour 302;2016-03-09;47.4179820667495, 9.38698377531671
"{""coordinates"": [9.38706424159196, 47.4180625330247], ""type"": ""Point""}";Tour 302;2016-03-09;47.4180625330247, 9.38706424159196
"{""coordinates"": [9.38730966373143, 47.4182328533073], ""type"": ""Point""}";Tour 302;2016-03-09;47.4182328533073, 9.38730966373143
"{""coordinates"": [9.38599672234039, 47.4179767023311], ""type"": ""Point""}";Tour 302;2016-03-09;47.4179767023311, 9.38599672234039
"{""coordinates"": [9.3858988217055, 47.4183374594651], ""type"": ""Point""}";Tour 302;2016-03-09;47.4183374594651, 9.3858988217055
"{""coordinates"": [9.38589613949634, 47.4183481883018], ""type"": ""Point""}";Tour 302;2016-03-09;47.4183481883018, 9.38589613949634
"{""coordinates"": [9.3850914767439, 47.4180048655275], ""type"": ""Point""}";Tour 302;2016-03-09;47.4180048655275, 9.3850914767439
"{""coordinates"": [9.38505526692003, 47.417798335421], ""type"": ""Point""}";Tour 302;2016-03-09;47.417798335421, 9.38505526692003
"{""coordinates"": [9.38499357610903, 47.4172095905071], ""type"": ""Point""}";Tour 302;2016-03-09;47.4172095905071, 9.38499357610903
"{""coordinates"": [9.38502308040995, 47.4171505819053], ""type"": ""Point""}";Tour 302;2016-03-09;47.4171505819053, 9.38502308040995
"{""coordinates"": [9.36606656706729, 47.4197000217259], ""type"": ""Point""}";Tour 303;2016-03-16;47.4197000217259, 9.36606656706729
"{""coordinates"": [9.36609473026363, 47.4195833456268], ""type"": ""Point""}";Tour 303;2016-03-16;47.4195833456268, 9.36609473026363
"{""coordinates"": [9.35937177296708, 47.4151939103123], ""type"": ""Point""}";Tour 303;2016-03-16;47.4151939103123, 9.35937177296708
"{""coordinates"": [9.36184476982621, 47.4160186896335], ""type"": ""Point""}";Tour 303;2016-03-16;47.4160186896335, 9.36184476982621
"{""coordinates"": [9.36238791718412, 47.4162225375308], ""type"": ""Point""}";Tour 303;2016-03-16;47.4162225375308, 9.36238791718412
"{""coordinates"": [9.36340715667052, 47.4166905830318], ""type"": ""Point""}";Tour 303;2016-03-16;47.4166905830318, 9.36340715667052
"{""coordinates"": [9.36655472913711, 47.4190643381515], ""type"": ""Point""}";Tour 303;2016-03-16;47.4190643381515, 9.36655472913711
"{""coordinates"": [9.37132235594524, 47.4206401360416], ""type"": ""Point""}";Tour 303;2016-03-16;47.4206401360416, 9.37132235594524
"{""coordinates"": [9.37096428102041, 47.4204684746545], ""type"": ""Point""}";Tour 303;2016-03-16;47.4204684746545, 9.37096428102041
"{""coordinates"": [9.36730574770604, 47.418857808045], ""type"": ""Point""}";Tour 303;2016-03-16;47.418857808045, 9.36730574770604
"{""coordinates"": [9.36717566056106, 47.4187920939202], ""type"": ""Point""}";Tour 303;2016-03-16;47.4187920939202, 9.36717566056106
"{""coordinates"": [9.3670549611482, 47.4186955343899], ""type"": ""Point""}";Tour 303;2016-03-16;47.4186955343899, 9.3670549611482
"{""coordinates"": [9.36582248603239, 47.4178010176302], ""type"": ""Point""}";Tour 303;2016-03-16;47.4178010176302, 9.36582248603239
"{""coordinates"": [9.36599951183794, 47.4183642815568], ""type"": ""Point""}";Tour 303;2016-03-16;47.4183642815568, 9.36599951183794
"{""coordinates"": [9.36649974384903, 47.4166892419272], ""type"": ""Point""}";Tour 303;2016-03-16;47.4166892419272, 9.36649974384903
"{""coordinates"": [9.36543624791122, 47.4157598564482], ""type"": ""Point""}";Tour 303;2016-03-16;47.4157598564482, 9.36543624791122
"{""coordinates"": [9.36420243169084, 47.4152220735086], ""type"": ""Point""}";Tour 303;2016-03-16;47.4152220735086, 9.36420243169084
"{""coordinates"": [9.36296325105209, 47.4148103544003], ""type"": ""Point""}";Tour 303;2016-03-16;47.4148103544003, 9.36296325105209
"{""coordinates"": [9.36457123545236, 47.4157611975527], ""type"": ""Point""}";Tour 303;2016-03-16;47.4157611975527, 9.36457123545236
"{""coordinates"": [9.3677362422786, 47.4176977525769], ""type"": ""Point""}";Tour 303;2016-03-16;47.4176977525769, 9.3677362422786
"{""coordinates"": [9.36887886338704, 47.4187062632267], ""type"": ""Point""}";Tour 303;2016-03-16;47.4187062632267, 9.36887886338704
"{""coordinates"": [9.37183465789764, 47.4202673089663], ""type"": ""Point""}";Tour 303;2016-03-16;47.4202673089663, 9.37183465789764
"{""coordinates"": [9.36390068315868, 47.416264111773], ""type"": ""Point""}";Tour 303;2016-03-16;47.416264111773, 9.36390068315868
"{""coordinates"": [9.36362039229991, 47.4161286602097], ""type"": ""Point""}";Tour 303;2016-03-16;47.4161286602097, 9.36362039229991
"{""coordinates"": [9.36477374224506, 47.4152019569398], ""type"": ""Point""}";Tour 303;2016-03-16;47.4152019569398, 9.36477374224506
"{""coordinates"": [9.3644719937129, 47.4150477299123], ""type"": ""Point""}";Tour 303;2016-03-16;47.4150477299123, 9.3644719937129
"{""coordinates"": [9.36418767954038, 47.4147969433544], ""type"": ""Point""}";Tour 303;2016-03-16;47.4147969433544, 9.36418767954038
"{""coordinates"": [9.36397578501558, 47.4146212586535], ""type"": ""Point""}";Tour 303;2016-03-16;47.4146212586535, 9.36397578501558
"{""coordinates"": [9.36375584386323, 47.4144710549397], ""type"": ""Point""}";Tour 303;2016-03-16;47.4144710549397, 9.36375584386323
"{""coordinates"": [9.36368610642469, 47.4140727468772], ""type"": ""Point""}";Tour 303;2016-03-16;47.4140727468772, 9.36368610642469
"{""coordinates"": [9.36245094909972, 47.4132224865688], ""type"": ""Point""}";Tour 303;2016-03-16;47.4132224865688, 9.36245094909972
"{""coordinates"": [9.36159934768673, 47.4130454607633], ""type"": ""Point""}";Tour 303;2016-03-16;47.4130454607633, 9.36159934768673
"{""coordinates"": [9.35969229696346, 47.4122770078347], ""type"": ""Point""}";Tour 303;2016-03-16;47.4122770078347, 9.35969229696346
"{""coordinates"": [9.35845311632474, 47.4117003328622], ""type"": ""Point""}";Tour 303;2016-03-16;47.4117003328622, 9.35845311632474
"{""coordinates"": [9.3634192266118, 47.409487510293], ""type"": ""Point""}";Tour 303;2016-03-16;47.409487510293, 9.3634192266118
"{""coordinates"": [9.36414744640277, 47.4092246537938], ""type"": ""Point""}";Tour 303;2016-03-16;47.4092246537938, 9.36414744640277
"{""coordinates"": [9.36427351023397, 47.4092018550159], ""type"": ""Point""}";Tour 303;2016-03-16;47.4092018550159, 9.36427351023397
"{""coordinates"": [9.36445321824868, 47.4091562574599], ""type"": ""Point""}";Tour 303;2016-03-16;47.4091562574599, 9.36445321824868
"{""coordinates"": [9.3630262829677, 47.4088960831699], ""type"": ""Point""}";Tour 303;2016-03-16;47.4088960831699, 9.3630262829677
"{""coordinates"": [9.36443176057529, 47.4085071628396], ""type"": ""Point""}";Tour 303;2016-03-16;47.4085071628396, 9.36443176057529
"{""coordinates"": [9.36466377166889, 47.4084481542378], ""type"": ""Point""}";Tour 303;2016-03-16;47.4084481542378, 9.36466377166889
"{""coordinates"": [9.36231683864096, 47.4070332888981], ""type"": ""Point""}";Tour 303;2016-03-16;47.4070332888981, 9.36231683864096
"{""coordinates"": [9.36270173565757, 47.4068173710595], ""type"": ""Point""}";Tour 303;2016-03-16;47.4068173710595, 9.36270173565757
"{""coordinates"": [9.36303969401357, 47.4066457096723], ""type"": ""Point""}";Tour 303;2016-03-16;47.4066457096723, 9.36303969401357
"{""coordinates"": [9.36005037188829, 47.4077856485716], ""type"": ""Point""}";Tour 303;2016-03-16;47.4077856485716, 9.36005037188829
"{""coordinates"": [9.36019923449751, 47.4078245406046], ""type"": ""Point""}";Tour 303;2016-03-16;47.4078245406046, 9.36019923449751
"{""coordinates"": [9.36429094459359, 47.4076555614266], ""type"": ""Point""}";Tour 303;2016-03-16;47.4076555614266, 9.36429094459359
"{""coordinates"": [9.36284657495298, 47.4120047636035], ""type"": ""Point""}";Tour 303;2016-03-16;47.4120047636035, 9.36284657495298
"{""coordinates"": [9.36343263765767, 47.4124138005026], ""type"": ""Point""}";Tour 303;2016-03-16;47.4124138005026, 9.36343263765767
"{""coordinates"": [9.3666606763995, 47.4109171277831], ""type"": ""Point""}";Tour 303;2016-03-16;47.4109171277831, 9.3666606763995
"{""coordinates"": [9.36677467028943, 47.4105912393684], ""type"": ""Point""}";Tour 303;2016-03-16;47.4105912393684, 9.36677467028943
"{""coordinates"": [9.36689402859773, 47.410339111706], ""type"": ""Point""}";Tour 303;2016-03-16;47.410339111706, 9.36689402859773
"{""coordinates"": [9.36808895278506, 47.4089081531112], ""type"": ""Point""}";Tour 303;2016-03-16;47.4089081531112, 9.36808895278506
"{""coordinates"": [9.36675589482522, 47.4098469263224], ""type"": ""Point""}";Tour 303;2016-03-16;47.4098469263224, 9.36675589482522
"{""coordinates"": [9.3688091259485, 47.4102908319408], ""type"": ""Point""}";Tour 303;2016-03-16;47.4102908319408, 9.3688091259485
"{""coordinates"": [9.36375047944489, 47.4137026020111], ""type"": ""Point""}";Tour 303;2016-03-16;47.4137026020111, 9.36375047944489
"{""coordinates"": [9.36368878863388, 47.4138259836332], ""type"": ""Point""}";Tour 303;2016-03-16;47.4138259836332, 9.36368878863388
"{""coordinates"": [9.36545636448005, 47.412994498789], ""type"": ""Point""}";Tour 303;2016-03-16;47.412994498789, 9.36545636448005
"{""coordinates"": [9.36680417459036, 47.4128161318789], ""type"": ""Point""}";Tour 303;2016-03-16;47.4128161318789, 9.36680417459036
"{""coordinates"": [9.36676394145275, 47.4126860447339], ""type"": ""Point""}";Tour 303;2016-03-16;47.4126860447339, 9.36676394145275
"{""coordinates"": [9.36540808471489, 47.414222950591], ""type"": ""Point""}";Tour 303;2016-03-16;47.414222950591, 9.36540808471489
"{""coordinates"": [9.36612825787833, 47.4152180501949], ""type"": ""Point""}";Tour 303;2016-03-16;47.4152180501949, 9.36612825787833
"{""coordinates"": [9.3658761302159, 47.4151013740958], ""type"": ""Point""}";Tour 303;2016-03-16;47.4151013740958, 9.3658761302159
"{""coordinates"": [9.36608400142694, 47.4158832380702], ""type"": ""Point""}";Tour 303;2016-03-16;47.4158832380702, 9.36608400142694
"{""coordinates"": [9.36809431720343, 47.4169507573218], ""type"": ""Point""}";Tour 303;2016-03-16;47.4169507573218, 9.36809431720343
"{""coordinates"": [9.36859320810993, 47.4172484825401], ""type"": ""Point""}";Tour 303;2016-03-16;47.4172484825401, 9.36859320810993
"{""coordinates"": [9.37128882833056, 47.4182087134247], ""type"": ""Point""}";Tour 303;2016-03-16;47.4182087134247, 9.37128882833056
"{""coordinates"": [9.3733594938135, 47.4191635798909], ""type"": ""Point""}";Tour 303;2016-03-16;47.4191635798909, 9.3733594938135
"{""coordinates"": [9.37525983901381, 47.4201519739719], ""type"": ""Point""}";Tour 303;2016-03-16;47.4201519739719, 9.37525983901381
"{""coordinates"": [9.3752276525037, 47.4207729053958], ""type"": ""Point""}";Tour 303;2016-03-16;47.4207729053958, 9.3752276525037
"{""coordinates"": [9.37453564253661, 47.4205730808123], ""type"": ""Point""}";Tour 303;2016-03-16;47.4205730808123, 9.37453564253661
"{""coordinates"": [9.37357809386123, 47.4202136647829], ""type"": ""Point""}";Tour 303;2016-03-16;47.4202136647829, 9.37357809386123
"{""coordinates"": [9.37337022265018, 47.4201868426911], ""type"": ""Point""}";Tour 303;2016-03-16;47.4201868426911, 9.37337022265018
"{""coordinates"": [9.37185209225726, 47.4203021776856], ""type"": ""Point""}";Tour 303;2016-03-16;47.4203021776856, 9.37185209225726
"{""coordinates"": [9.37205325794537, 47.4204067838434], ""type"": ""Point""}";Tour 303;2016-03-16;47.4204067838434, 9.37205325794537
"{""coordinates"": [9.37341850241532, 47.4211041582289], ""type"": ""Point""}";Tour 303;2016-03-16;47.4211041582289, 9.37341850241532
"{""coordinates"": [9.37649499633878, 47.4219571007465], ""type"": ""Point""}";Tour 303;2016-03-16;47.4219571007465, 9.37649499633878
"{""coordinates"": [9.41052686634819, 47.4427214230729], ""type"": ""Point""}";Tour 401;2016-03-10;47.4427214230729, 9.41052686634819
"{""coordinates"": [9.41200744581266, 47.4450080063944], ""type"": ""Point""}";Tour 401;2016-03-10;47.4450080063944, 9.41200744581266
"{""coordinates"": [9.41433426227178, 47.4468775061892], ""type"": ""Point""}";Tour 401;2016-03-10;47.4468775061892, 9.41433426227178
"{""coordinates"": [9.41325199086975, 47.4459239808276], ""type"": ""Point""}";Tour 401;2016-03-10;47.4459239808276, 9.41325199086975
"{""coordinates"": [9.4045227411105, 47.4381777607308], ""type"": ""Point""}";Tour 401;2016-03-10;47.4381777607308, 9.4045227411105
"{""coordinates"": [9.40540652903357, 47.4380235337033], ""type"": ""Point""}";Tour 401;2016-03-10;47.4380235337033, 9.40540652903357
"{""coordinates"": [9.40637614765026, 47.4388804995346], ""type"": ""Point""}";Tour 401;2016-03-10;47.4388804995346, 9.40637614765026
"{""coordinates"": [9.404192829382, 47.439675774555], ""type"": ""Point""}";Tour 401;2016-03-10;47.439675774555, 9.404192829382
"{""coordinates"": [9.40940704401774, 47.4408009613038], ""type"": ""Point""}";Tour 401;2016-03-10;47.4408009613038, 9.40940704401774
"{""coordinates"": [9.40910797769476, 47.4421367014728], ""type"": ""Point""}";Tour 401;2016-03-10;47.4421367014728, 9.40910797769476
"{""coordinates"": [9.39912479514626, 47.4391071462099], ""type"": ""Point""}";Tour 401;2016-03-10;47.4391071462099, 9.39912479514626
"{""coordinates"": [9.39849849930397, 47.4333685596805], ""type"": ""Point""}";Tour 401;2016-03-10;47.4333685596805, 9.39849849930397
"{""coordinates"": [9.39812969554242, 47.4336555560622], ""type"": ""Point""}";Tour 401;2016-03-10;47.4336555560622, 9.39812969554242
"{""coordinates"": [9.40234746946976, 47.4364705345911], ""type"": ""Point""}";Tour 401;2016-03-10;47.4364705345911, 9.40234746946976
"{""coordinates"": [9.40216642035045, 47.4367481432407], ""type"": ""Point""}";Tour 401;2016-03-10;47.4367481432407, 9.40216642035045
"{""coordinates"": [9.40280478613406, 47.4375742636665], ""type"": ""Point""}";Tour 401;2016-03-10;47.4375742636665, 9.40280478613406
"{""coordinates"": [9.40473195342611, 47.4416512216122], ""type"": ""Point""}";Tour 401;2016-03-10;47.4416512216122, 9.40473195342611
"{""coordinates"": [9.40551381740056, 47.4424505199462], ""type"": ""Point""}";Tour 401;2016-03-10;47.4424505199462, 9.40551381740056
"{""coordinates"": [9.40631311573463, 47.4424411322141], ""type"": ""Point""}";Tour 401;2016-03-10;47.4424411322141, 9.40631311573463
"{""coordinates"": [9.40736856504492, 47.4432793225812], ""type"": ""Point""}";Tour 401;2016-03-10;47.4432793225812, 9.40736856504492
"{""coordinates"": [9.40174129019627, 47.4423351849517], ""type"": ""Point""}";Tour 401;2016-03-10;47.4423351849517, 9.40174129019627
"{""coordinates"": [9.40156962880909, 47.4421219493223], ""type"": ""Point""}";Tour 401;2016-03-10;47.4421219493223, 9.40156962880909
"{""coordinates"": [9.4015240312531, 47.4419382179939], ""type"": ""Point""}";Tour 401;2016-03-10;47.4419382179939, 9.4015240312531
"{""coordinates"": [9.40113645202734, 47.4407070839827], ""type"": ""Point""}";Tour 401;2016-03-10;47.4407070839827, 9.40113645202734
"{""coordinates"": [9.40570961867033, 47.4475507406921], ""type"": ""Point""}";Tour 401;2016-03-10;47.4475507406921, 9.40570961867033
"{""coordinates"": [9.40628092922455, 47.4483004181564], ""type"": ""Point""}";Tour 401;2016-03-10;47.4483004181564, 9.40628092922455
"{""coordinates"": [9.40653305688699, 47.4488435655143], ""type"": ""Point""}";Tour 401;2016-03-10;47.4488435655143, 9.40653305688699
"{""coordinates"": [9.405106121606, 47.4464952913818], ""type"": ""Point""}";Tour 401;2016-03-10;47.4464952913818, 9.405106121606
"{""coordinates"": [9.40466892151051, 47.4457496372312], ""type"": ""Point""}";Tour 401;2016-03-10;47.4457496372312, 9.40466892151051
"{""coordinates"": [9.40378111027366, 47.4442060258511], ""type"": ""Point""}";Tour 401;2016-03-10;47.4442060258511, 9.40378111027366
"{""coordinates"": [9.40350752493785, 47.4434120919354], ""type"": ""Point""}";Tour 401;2016-03-10;47.4434120919354, 9.40350752493785
"{""coordinates"": [9.40295498984784, 47.441310581047], ""type"": ""Point""}";Tour 401;2016-03-10;47.441310581047, 9.40295498984784
"{""coordinates"": [9.4036376120828, 47.4367441199269], ""type"": ""Point""}";Tour 401;2016-03-10;47.4367441199269, 9.4036376120828
"{""coordinates"": [9.40294426101113, 47.436054792169], ""type"": ""Point""}";Tour 401;2016-03-10;47.436054792169, 9.40294426101113
"{""coordinates"": [9.40219056023304, 47.4354875049285], ""type"": ""Point""}";Tour 401;2016-03-10;47.4354875049285, 9.40219056023304
